filename,status,paginas,chars
Khethiwe Dlamini et al - 2024 - Women’s educational leadership experiences career advancement in the Lubombo region of Esw.pdf,ok,15,59927
Mendoza Sierra et al - 2024 - Intervencion psicologica para mitigar el impacto en factores psicosociales que afecten en.pdf,ok,15,31234
"Martagon Vazquez et al - 2024 - Organizacion y gestion educativa desde la comunidad. Apertura, participacion y liderazgo c.pdf",ok,20,63469
Barrero Martinez - 2026 - La evaluacion formativa en el aula de clase un proceso vinculado al liderazgo del directiv.pdf,ok,20,51333
Jexenia Casquete-Tamayo et al - 2023 - Transformando organizaciones a traves del liderazgo inclusivo.pdf,ok,21,64955
Munoz-Perez - 2025 - Liderazgo pedagogico y gestion eficaz del aula.pdf,ok,11,41326
