macro_topic_id,descriptor_automatic,human_label,macro_topic_size,validation_status
0,,,316,pending_human_review
1,,,158,pending_human_review
2,,,141,pending_human_review
3,,,130,pending_human_review
4,,,100,pending_human_review
5,,,83,pending_human_review
6,,,75,pending_human_review
7,,,64,pending_human_review
8,,,62,pending_human_review
9,,,46,pending_human_review
10,,,46,pending_human_review
11,,,43,pending_human_review
12,,,38,pending_human_review
13,,,38,pending_human_review
