K,coherence,exclusivity,heldout,residual,bound,stability,convergence_rate,search_phase,multicriteria_score,weights_used,missing_metrics,K_preferred,K_competitive,K_rejected,selection_status,human_review_status,warning
4,-36.665624265732994,8.212922046782218,-5.621774000806235,1.379951771911994,-29945.909419945736,0.31117272411584135,0.4,coarse,0.7993223103029561,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,TRUE,FALSE,FALSE,exploratory_small_corpus_stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
5,-38.44122256302195,8.450201059591377,-5.7004288725216705,1.3450648951551634,-29524.097676834972,0.30823092366570626,0,coarse,0.583147550424274,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,FALSE,TRUE,FALSE,exploratory_small_corpus_stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
3,-39.162023782601366,7.879355568987442,-5.59665047956933,1.4172280381698676,-30369.389050210106,0.18412809010635098,0.2,coarse,0.2,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,FALSE,TRUE,FALSE,exploratory_small_corpus_stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
