model,corpus,language,topic_id,year,documents_in_year,dominant_topic_documents,effective_topic_mass,mean_prevalence,median_prevalence,expected_prevalence,topic_presence_above_threshold,lower_95,upper_95,uncertainty_method,year_complete,metadata_coverage,fulltext_coverage
STM-METADATA-PT,metadata,pt,1,2020,5,2,2.268583912666068,0.4537167825332136,0.3417185146184014,0.420800247102954,5,0.10017583696618254,0.7645133977215566,estimateEffect_global_simulation,TRUE,1,0.242902
STM-METADATA-PT,metadata,pt,1,2021,16,5,4.123165031712309,0.25769781448201934,0.08051307632300488,0.29481184525694637,8,0.1164182753414359,0.4761221676502179,estimateEffect_global_simulation,TRUE,1,0.259939
STM-METADATA-PT,metadata,pt,1,2022,6,3,2.3357447384490437,0.38929078974150727,0.2581202554513461,0.21584504529916632,3,0.04784197611008614,0.3907172615770527,estimateEffect_global_simulation,TRUE,1,0.367003
STM-METADATA-PT,metadata,pt,1,2023,8,2,1.48709351103477,0.18588668887934626,0.009944741536825976,0.19454470247085456,2,2.41635507350207e-4,0.3892219910412691,estimateEffect_global_simulation,TRUE,1,0.398305
STM-METADATA-PT,metadata,pt,1,2024,4,1,0.7757636970366075,0.19394092425915188,0.007390654721005122,0.22869811779695035,1,0.018912107636309718,0.44190892112630764,estimateEffect_global_simulation,TRUE,1,0.295844
STM-METADATA-PT,metadata,pt,1,2025,1,0,0.00366188619082688,0.00366188619082688,0.00366188619082688,0.30223524776261174,0,0.07466696095744722,0.5393159841067157,estimateEffect_global_simulation,TRUE,1,0.252273
STM-METADATA-PT,metadata,pt,1,2026,4,2,1.7616222749102155,0.4404055687275539,0.3734140323514553,0.39542812759761375,3,0.023023063236140718,0.7918889447116575,estimateEffect_global_simulation,FALSE,1,0.152174
STM-METADATA-PT,metadata,pt,2,2020,5,1,0.7998282208069898,0.15996564416139794,0.14619061405477038,0.231747603852146,3,-0.08781589437217815,0.5518528003389235,estimateEffect_global_simulation,TRUE,1,0.242902
STM-METADATA-PT,metadata,pt,2,2021,16,6,5.752805744018237,0.3595503590011398,0.33977681828777984,0.28005464471025177,10,0.1030271664886657,0.45432540442853336,estimateEffect_global_simulation,TRUE,1,0.259939
STM-METADATA-PT,metadata,pt,2,2022,6,0,0.45697902325404083,0.07616317054234013,0.029602220310255483,0.32989494671933456,2,0.16094490093066022,0.5050517527616372,estimateEffect_global_simulation,TRUE,1,0.367003
STM-METADATA-PT,metadata,pt,2,2023,8,3,2.7824852513845677,0.34781065642307096,0.13299532126447233,0.3473595439913644,4,0.15019722025089066,0.5506358315135356,estimateEffect_global_simulation,TRUE,1,0.398305
STM-METADATA-PT,metadata,pt,2,2024,4,2,1.9734061292289644,0.4933515323072411,0.49061419610248963,0.3010965538224935,2,0.08432938508882702,0.518635598613765,estimateEffect_global_simulation,TRUE,1,0.295844
STM-METADATA-PT,metadata,pt,2,2025,1,0,0.005247363121670444,0.005247363121670444,0.005247363121670444,0.2047261312854492,0,-0.013597107856389498,0.42622823315748226,estimateEffect_global_simulation,TRUE,1,0.252273
STM-METADATA-PT,metadata,pt,2,2026,4,0,0.22176945164930487,0.05544236291232622,0.008057009169352808,0.0833478842465895,1,-0.25253831994335457,0.43977046906240896,estimateEffect_global_simulation,FALSE,1,0.152174
STM-METADATA-PT,metadata,pt,3,2020,5,0,0.19593627562241311,0.03918725512448262,0.00798027295958179,0.05745346093100297,1,-0.2475462049113515,0.3562970780767478,estimateEffect_global_simulation,TRUE,1,0.242902
STM-METADATA-PT,metadata,pt,3,2021,16,1,2.7752509092519144,0.17345318182824465,0.08447135369228251,0.19240038908324086,8,0.03490410465541612,0.36008233232335446,estimateEffect_global_simulation,TRUE,1,0.259939
STM-METADATA-PT,metadata,pt,3,2022,6,1,1.0646880775650016,0.17744801292750026,0.018743458897701286,0.23782163954751243,1,0.08572252160406715,0.3982032034632683,estimateEffect_global_simulation,TRUE,1,0.367003
STM-METADATA-PT,metadata,pt,3,2023,8,3,2.825677261457714,0.35320965768221424,0.2574560671869107,0.2413674687142628,4,0.05054141638112259,0.42596972170207464,estimateEffect_global_simulation,TRUE,1,0.398305
STM-METADATA-PT,metadata,pt,3,2024,4,0,0.17093052600401115,0.04273263150100279,0.005367278351350407,0.2692669823782253,1,0.06752664863570505,0.47580549105973646,estimateEffect_global_simulation,TRUE,1,0.295844
STM-METADATA-PT,metadata,pt,3,2025,1,1,0.9857382849589448,0.9857382849589448,0.9857382849589448,0.32407365678931155,1,0.1184780174009597,0.538144367730681,estimateEffect_global_simulation,TRUE,1,0.252273
STM-METADATA-PT,metadata,pt,3,2026,4,2,1.5030535437208425,0.37576338593021064,0.27198782338555627,0.39230933674719676,2,0.05633437098676011,0.7232696771327609,estimateEffect_global_simulation,FALSE,1,0.152174
STM-METADATA-PT,metadata,pt,4,2020,5,2,1.7356515909045291,0.34713031818090584,0.37187345846966996,0.2828916053787696,4,-0.015909914771119353,0.6135711230855964,estimateEffect_global_simulation,TRUE,1,0.242902
STM-METADATA-PT,metadata,pt,4,2021,16,4,3.3487783150175403,0.20929864468859627,0.038869382331297636,0.23065056028376396,6,0.08454988374144273,0.38147095799656783,estimateEffect_global_simulation,TRUE,1,0.259939
STM-METADATA-PT,metadata,pt,4,2022,6,2,2.142588160731914,0.35709802678865227,0.2000749857895604,0.2143292057103247,3,0.06967572943776337,0.37198324871792476,estimateEffect_global_simulation,TRUE,1,0.367003
