model,topic_id,rank,term,metric
stm,11,11,prisma,FREX
stm,11,12,cación,FREX
stm,11,13,publicaciones,FREX
stm,11,14,exclusión,FREX
stm,11,15,artículos,FREX
stm,11,16,dialnet,FREX
stm,11,17,inglés,FREX
stm,11,18,búsqueda,FREX
stm,11,19,elegibilidad,FREX
stm,11,20,brechas,FREX
stm,12,1,boarding,FREX
stm,12,2,pesantren,FREX
stm,12,3,quran,FREX
stm,12,4,gontor,FREX
stm,12,5,bengkulu,FREX
stm,12,6,santri,FREX
stm,12,7,moderation,FREX
stm,12,8,pondok,FREX
stm,12,9,islamic,FREX
stm,12,10,religious,FREX
stm,12,11,kyai,FREX
stm,12,12,kiai,FREX
stm,12,13,tahfidz,FREX
stm,12,14,darul,FREX
stm,12,15,prophet,FREX
stm,12,16,community-based,FREX
stm,12,17,jambi,FREX
stm,12,18,darussalam,FREX
stm,12,19,zarkasyi,FREX
stm,12,20,character,FREX
stm,13,1,nursing,FREX
stm,13,2,wales,FREX
stm,13,3,emergency,FREX
stm,13,4,medical,FREX
stm,13,5,disabled,FREX
stm,13,6,depression,FREX
stm,13,7,yes,FREX
stm,13,8,plos,FREX
stm,13,9,stress,FREX
stm,13,10,adolescents,FREX
stm,13,11,cognitive,FREX
stm,13,12,pmid,FREX
stm,13,13,anxiety,FREX
stm,13,14,ireland,FREX
stm,13,15,bmc,FREX
stm,13,16,psychol,FREX
stm,13,17,anger,FREX
stm,13,18,health,FREX
stm,13,19,disabilities,FREX
stm,13,20,canoas,FREX
stm,14,1,koinonia,FREX
stm,14,2,auditoría,FREX
stm,14,3,depósito,FREX
stm,14,4,coro,FREX
stm,14,5,corrupción,FREX
stm,14,6,contabilidad,FREX
stm,14,7,presupuesto,FREX
stm,14,8,arbitrada,FREX
stm,14,9,fundación,FREX
stm,14,10,fiscales,FREX
stm,14,11,honduras,FREX
stm,14,12,venezuela,FREX
stm,14,13,tributaria,FREX
stm,14,14,impuestos,FREX
stm,14,15,financiera,FREX
stm,14,16,defensa,FREX
stm,14,17,jurídica,FREX
stm,14,18,gubernamental,FREX
stm,14,19,desastres,FREX
stm,14,20,modernización,FREX
stm,15,1,igobernanza,FREX
stm,15,2,transformacional,FREX
stm,15,3,directivo,FREX
stm,15,4,líder,FREX
stm,15,5,liderazgo,FREX
stm,15,6,estratégica,FREX
stm,15,7,autoevaluación,FREX
stm,15,8,gerenciales,FREX
stm,15,9,villa,FREX
stm,15,10,misión,FREX
stm,15,11,piedra,FREX
stm,15,12,puente,FREX
stm,15,13,metas,FREX
stm,15,14,planificación,FREX
stm,15,15,escalante,FREX
stm,15,16,directiva,FREX
stm,15,17,líderes,FREX
stm,15,18,pinedo,FREX
stm,15,19,acreditación,FREX
stm,15,20,director,FREX
stm,16,1,women,FREX
stm,16,2,abusive,FREX
stm,16,3,women’s,FREX
stm,16,4,racism,FREX
stm,16,5,positions,FREX
stm,16,6,womens,FREX
stm,16,7,discrimination,FREX
stm,16,8,dilemmas,FREX
stm,16,9,gendered,FREX
stm,16,10,superintendents,FREX
stm,16,11,feminist,FREX
stm,16,12,black,FREX
stm,16,13,stereotypes,FREX
stm,16,14,equality,FREX
stm,16,15,men,FREX
stm,16,16,love,FREX
stm,16,17,race,FREX
stm,16,18,identities,FREX
stm,16,19,racial,FREX
stm,16,20,woman,FREX
stm,17,1,bullying,FREX
stm,17,2,konseling,FREX
stm,17,3,keputusan,FREX
stm,17,4,partisipatif,FREX
stm,17,5,mutu,FREX
stm,17,6,bimbingan,FREX
stm,17,7,pencegahan,FREX
stm,17,8,pelaksanaan,FREX
stm,17,9,tindakan,FREX
stm,17,10,kebijakan,FREX
stm,17,11,pengambilan,FREX
stm,17,12,staf,FREX
stm,17,13,kepala,FREX
stm,17,14,warga,FREX
stm,17,15,efektif,FREX
stm,17,16,masyarakat,FREX
stm,17,17,seluruh,FREX
stm,17,18,pimpinan,FREX
stm,17,19,perencanaan,FREX
stm,17,20,pengelolaan,FREX
stm,18,1,coeficiente,FREX
stm,18,2,bilateral,FREX
stm,18,3,hipótesis,FREX
stm,18,4,spearman,FREX
stm,18,5,rho,FREX
stm,18,6,correlación,FREX
stm,18,7,significancia,FREX
stm,18,8,ítems,FREX
stm,18,9,moderada,FREX
stm,18,10,compromisos,FREX
stm,18,11,prueba,FREX
stm,18,12,estadísticamente,FREX
stm,18,13,nula,FREX
stm,18,14,ítem,FREX
stm,18,15,satisfacción,FREX
stm,18,16,correlacional,FREX
stm,18,17,cuestionario,FREX
stm,18,18,estadístico,FREX
stm,18,19,confiabilidad,FREX
stm,18,20,dimensiones,FREX
stm,19,1,smc,FREX
stm,19,2,parent,FREX
stm,19,3,smcs,FREX
stm,19,4,financial,FREX
stm,19,5,overcrowded,FREX
stm,19,6,africa,FREX
stm,19,7,cybersecurity,FREX
stm,19,8,private,FREX
stm,19,9,parental,FREX
stm,19,10,participation,FREX
stm,19,11,involvement,FREX
stm,19,12,grants,FREX
stm,19,13,controls,FREX
stm,19,14,head,FREX
stm,19,15,schools’,FREX
stm,19,16,parents’,FREX
stm,19,17,pta,FREX
stm,19,18,rate,FREX
stm,19,19,rest,FREX
stm,19,20,parents,FREX
stm,20,1,privatización,FREX
stm,20,2,indígenas,FREX
stm,20,3,indígena,FREX
stm,20,4,aires,FREX
stm,20,5,discursos,FREX
stm,20,6,mujeres,FREX
stm,20,7,establecimientos,FREX
stm,20,8,nosotros,FREX
stm,20,9,riie,FREX
stm,20,10,buenos,FREX
stm,20,11,chileno,FREX
stm,20,12,pei,FREX
stm,20,13,córdoba,FREX
stm,20,14,pueblos,FREX
stm,20,15,establecimiento,FREX
stm,20,16,escuela,FREX
stm,20,17,argentina,FREX
stm,20,18,traslados,FREX
stm,20,19,niñas,FREX
stm,20,20,foucault,FREX
stm,21,1,latam,FREX
stm,21,2,paraguay,FREX
stm,21,3,asunción,FREX
stm,21,4,indtec,FREX
stm,21,5,isni,FREX
stm,21,6,pág,FREX
stm,21,7,bachillerato,FREX
stm,21,8,arbitrado,FREX
stm,21,9,montúfar,FREX
stm,21,10,ricardo,FREX
stm,21,11,tut,FREX
stm,21,12,latinoamericana,FREX
stm,21,13,acompañamiento,FREX
stm,21,14,activas,FREX
stm,21,15,reg,FREX
stm,21,16,humanidades,FREX
stm,21,17,tecnológico,FREX
stm,21,18,mayo-julio,FREX
stm,21,19,human-generated,FREX
stm,21,20,desacuerdo,FREX
stm,22,1,rvgluz,FREX
stm,22,2,atribución-compartirigual,FREX
stm,22,3,rica,FREX
stm,22,4,mep,FREX
stm,22,5,síndrome,FREX
stm,22,6,educare,FREX
stm,22,7,twitter,FREX
stm,22,8,mindfulness,FREX
stm,22,9,costa,FREX
stm,22,10,delimitadas,FREX
stm,22,11,confinamiento,FREX
stm,22,12,maslach,FREX
stm,22,13,educareunaaccr,FREX
stm,22,14,educareunacr,FREX
stm,22,15,autorizaciones,FREX
stm,22,16,venezolana,FREX
stm,22,17,enero-abril,FREX
stm,22,18,despersonalización,FREX
stm,22,19,burnout,FREX
stm,22,20,garcía-martínez,FREX
