K,coherence,exclusivity,heldout,residual,bound,stability,convergence_rate,search_phase,multicriteria_score,weights_used,missing_metrics,K_preferred,K_competitive,K_rejected,selection_status,human_review_status,warning
12,-61.76978212615869,9.057307787005172,-6.898849581039439,1.9138493024902223,-906899.7417875355,0.26475817033788823,0,coarse,0.5198679019999621,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,TRUE,FALSE,FALSE,stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
20,-66.89658498042462,9.173504257843657,-6.9937449069227196,1.7415455888181655,-894320.4216718415,0.2817651493872492,0,coarse,0.5,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,FALSE,TRUE,FALSE,stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
18,-66.31880243048539,9.09240739919962,-6.97153000337495,1.7484927291305559,-897661.5586361198,0.2776285947339111,0,coarse,0.3794975709160738,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,FALSE,TRUE,FALSE,stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
14,-66.65180896830452,9.109846651652303,-6.957098741251757,1.8597418724032615,-903985.7107739297,NA,NA,coarse,0.24688397294455014,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,FALSE,FALSE,TRUE,stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
16,-65.48535820630359,9.047276243750566,-6.977602050012486,1.811900435367587,-900261.1163444617,NA,NA,coarse,0.17576991548196996,coherence=0.3;exclusivity=0.25;heldout=0.2;residual=0.1;stability=0.15,,FALSE,FALSE,TRUE,stability_nonconverged,pending,Stability replicas did not reach the required 0.8 convergence rate; result is exploratory
