model,corpus,language,topic_id,year,documents_in_year,dominant_topic_documents,effective_topic_mass,mean_prevalence,median_prevalence,expected_prevalence,topic_presence_above_threshold,lower_95,upper_95,uncertainty_method,year_complete,metadata_coverage,fulltext_coverage
STM-METADATA-ES,metadata,es,1,2020,93,3,4.051671437663474,0.04356635954476854,0.0015740470378748598,0.05455583884012181,6,0.026767833940023855,0.08241940822664065,estimateEffect_global_simulation,TRUE,1,0.242902
STM-METADATA-ES,metadata,es,1,2021,111,6,4.740334930282995,0.04270572009263959,0.0016346109816405177,0.046356526552661904,10,0.030673367426394524,0.06210648892735082,estimateEffect_global_simulation,TRUE,1,0.261538
STM-METADATA-ES,metadata,es,1,2022,134,7,6.155407600662856,0.045935877616886986,0.0012562868509891699,0.03896390162634948,10,0.023862490533931403,0.05570846926009268,estimateEffect_global_simulation,TRUE,1,0.367003
STM-METADATA-ES,metadata,es,1,2023,189,3,3.17824187876185,0.016816094596623542,0.0011161004893041526,0.03318761590599064,5,0.019288576385589097,0.04892692938458469,estimateEffect_global_simulation,TRUE,1,0.399433
STM-METADATA-ES,metadata,es,1,2024,264,7,7.8693439058681856,0.02980812085556131,9.523442399379158e-4,0.02973948964871478,13,0.017411186382554414,0.041315435699373945,estimateEffect_global_simulation,TRUE,1,0.297297
STM-METADATA-ES,metadata,es,1,2025,323,6,6.0221154109653225,0.018644320157787376,0.0011371922577793417,0.028972098253037183,10,0.015171191679260827,0.042930187665174535,estimateEffect_global_simulation,TRUE,1,0.25576
STM-METADATA-ES,metadata,es,1,2026,157,4,3.760852020689818,0.023954471469361898,0.0017348447784282521,0.030604595786488737,6,0.007048359603451011,0.055993551720543724,estimateEffect_global_simulation,FALSE,1,0.158192
STM-METADATA-ES,metadata,es,2,2020,93,3,2.8122871799668943,0.030239647096418215,0.001237051064648104,0.032887485696257573,7,-8.13912318459061e-4,0.07073381727633654,estimateEffect_global_simulation,TRUE,1,0.242902
STM-METADATA-ES,metadata,es,2,2021,111,4,4.207350647946146,0.03790405989140673,0.0011956777609388612,0.04803092971203551,6,0.029135786171446756,0.06998955002291074,estimateEffect_global_simulation,TRUE,1,0.261538
STM-METADATA-ES,metadata,es,2,2022,134,5,6.212976656054416,0.04636549743324191,0.0012919554255820876,0.05667651656817584,11,0.03728626720409538,0.07471732253046959,estimateEffect_global_simulation,TRUE,1,0.367003
STM-METADATA-ES,metadata,es,2,2023,189,8,8.947545959660324,0.04734151301407579,9.417571144047889e-4,0.05230258244253619,12,0.033931668080566954,0.06862781312253802,estimateEffect_global_simulation,TRUE,1,0.399433
STM-METADATA-ES,metadata,es,2,2024,264,10,9.429866621180985,0.035719191746897666,5.341789348151877e-4,0.03436582700118551,14,0.020955718265171862,0.047773004021376964,estimateEffect_global_simulation,TRUE,1,0.297297
STM-METADATA-ES,metadata,es,2,2025,323,5,5.428550462926223,0.016806657779957344,5.803918879132497e-4,0.02600795842937024,7,0.011356138469860201,0.039820614686237876,estimateEffect_global_simulation,TRUE,1,0.25576
STM-METADATA-ES,metadata,es,2,2026,157,4,5.467820349596577,0.034826881207621514,0.0015205954083533709,0.04497783000439924,10,0.01751758927090477,0.07378597355008094,estimateEffect_global_simulation,FALSE,1,0.158192
STM-METADATA-ES,metadata,es,3,2020,93,12,12.383171743016248,0.13315238433350804,0.01574180078140896,0.12260613615992239,25,0.08589635818641189,0.15963955555414494,estimateEffect_global_simulation,TRUE,1,0.242902
STM-METADATA-ES,metadata,es,3,2021,111,16,12.791705088839988,0.11524058638594584,0.015450052270425072,0.11878157969792837,26,0.09806221085014141,0.14022340824175372,estimateEffect_global_simulation,TRUE,1,0.261538
STM-METADATA-ES,metadata,es,3,2022,134,15,15.462333957740023,0.11539055192343302,0.013633800444553097,0.10868421868695824,36,0.08760409448946667,0.1301930087496824,estimateEffect_global_simulation,TRUE,1,0.367003
